Pressure (dbar),Depth (m),Temperature (°C),Conductivity (µS/cm),Specific Conductance (µS/cm),Salinity (PSS),Sound Velocity (m/s),Density (kg/m³),Latitude,Longitude,UTC Time,File Name
1.05,1.0708564750187863,12.14339646378537,321.83351528522485,433.23113382887715,0.20630876232236797,1455.8412091542878,999.6495809406506,40.2841455,-106.8537635,2025-05-14 16:53:57,CC2435009_20250514_165357
1.35,1.3768138798834375,12.145597252387061,321.67051741037574,432.98606188073126,0.2061895312339327,1455.8541711364567,999.6506495515806,40.2841455,-106.8537635,2025-05-14 16:53:57,CC2435009_20250514_165357
1.7660267353057861,1.801102210776427,12.173109423543366,321.92246467890027,433.00448855512286,0.20621193917663946,1455.9643719501569,999.6494226449206,40.2841455,-106.8537635,2025-05-14 16:53:57,CC2435009_20250514_165357
0.15,0.1531911514537145,12.211439385080817,322.18902587890625,432.9166396181943,0.2061941586925279,1456.0823761741908,999.6372816840432,40.2841328,-106.85375,2025-05-14 16:57:44,CC2435009_20250514_165744
0.45,0.4589416647486756,12.209074020385742,322.13482666015625,432.87132929412354,0.20616992736822243,1456.078291325702,999.6389580994854,40.2841328,-106.85375,2025-05-14 16:57:44,CC2435009_20250514_165744
0.7499999999999999,0.7649020279108514,12.196935796580078,322.1446458732596,433.02578421376035,0.2062379543640471,1456.0376027240031,999.6418522488686,40.2841328,-106.85375,2025-05-14 16:57:44,CC2435009_20250514_165744
1.05,1.070861441077915,12.177233274097587,321.9324380754618,432.96987124074275,0.20619935226582592,1455.968333633177,999.6455461894996,40.2841328,-106.85375,2025-05-14 16:57:44,CC2435009_20250514_165744
1.35,1.3768199902715255,12.169111251831055,321.8012390136719,432.8879924426752,0.20615422176987824,1455.9425702514652,999.6478782638985,40.2841328,-106.85375,2025-05-14 16:57:44,CC2435009_20250514_165744
1.65,1.682777989403767,12.166898741160619,321.7192354748944,432.8034438862198,0.20611092920110102,1455.939026438752,999.649520970872,40.2841328,-106.85375,2025-05-14 16:57:44,CC2435009_20250514_165744
1.95,1.9887355286678496,12.16386138181817,321.6380285560319,432.72956118788585,0.20607240010530634,1455.9323860262466,999.6512636884366,40.2841328,-106.85375,2025-05-14 16:57:44,CC2435009_20250514_165744
2.221159985190944,2.265279984577389,12.164864851453887,321.62022796651104,432.69392913442726,0.206054759494651,1455.940503030988,999.652414467384,40.2841328,-106.85375,2025-05-14 16:57:44,CC2435009_20250514_165744
0.15,0.1531855490818546,11.892898517361036,319.4531006377375,432.946601481325,0.2060369301211586,1454.8809160694138,999.6738948090376,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
0.45,0.45892502579949945,11.881356294808889,319.55527414333096,433.22061096260296,0.20616327098938833,1454.8421896189425,999.6767206873203,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
0.7499999999999999,0.764874548037081,11.895601196520118,319.49486805876484,432.9714894155169,0.20604877216491282,1454.9008129682954,999.6764376844936,40.2796987,-106.8442307,2025-05-14 17:12:24,CC2435009_20250514_171224
